frame_num,dispx,dispy
132,0.00010841,-1.758e-05
133,0.00010841,-1.758e-05
134,0.00010841,-1.758e-05
135,0.00010841,-0
136,0.00010841,-0
137,0.00010841,-0
138,0.00010841,-0
139,0.00010841,-0
140,0.00010841,-0
141,0.00010841,-8.79e-06
142,0.00010841,-1.758e-05
143,0.00010841,-1.758e-05
144,0.00010841,-1.758e-05
145,8.204e-05,-2.344e-05
146,7.911e-05,-2.344e-05
147,7.911e-05,-2.344e-05
148,7.911e-05,-2.344e-05
149,7.911e-05,-2.344e-05
150,7.911e-05,-2.344e-05
151,7.911e-05,-2.344e-05
152,0.00010841,-1.758e-05
153,0.00010841,-1.758e-05
154,0.00011134,-1.758e-05
155,0.00010841,-0
156,0.00010841,-0
157,0.00010841,-0
158,0.00010841,-0
159,0.00010841,-0
160,0.00010841,-0
161,0.00010841,-0
162,0.00010841,-1.758e-05
163,0.00010841,-1.758e-05
164,0.00010841,-1.758e-05
165,7.911e-05,-2.344e-05
166,8.204e-05,-2.344e-05
167,7.911e-05,-2.344e-05
168,7.911e-05,-2.344e-05
169,8.204e-05,-2.344e-05
170,7.911e-05,-2.344e-05
171,7.911e-05,-2.344e-05
172,0.00010841,-1.758e-05
173,0.00010841,-1.758e-05
174,0.00010841,-1.758e-05
175,0.00010841,-1.465e-05
176,0.00010841,-0
177,0.00010841,-0
178,0.00010841,-0
179,0.00010841,-0
180,0.00010841,-0
181,0.00010841,-0
182,0.00010841,-1.465e-05
183,0.00010841,-1.758e-05
184,0.00010841,-1.758e-05
185,0.00010841,-1.758e-05
186,7.911e-05,-2.344e-05
187,7.911e-05,-2.344e-05
188,7.911e-05,-2.344e-05
189,7.911e-05,-2.344e-05
190,7.911e-05,-2.344e-05
191,7.911e-05,-2.344e-05
192,7.911e-05,-2.344e-05
193,0.00010841,-1.758e-05
194,0.00010841,-1.758e-05
195,0.00010841,-1.758e-05
196,0.00010841,-0
197,0.00010841,-0
198,0.00010841,-0
199,0.00010841,-0
200,0.00010841,-0
201,0.00010841,-0
202,0.00010841,-0
203,0.00010841,-1.758e-05
204,0.00010841,-1.758e-05
205,0.00010841,-1.758e-05
206,7.911e-05,-2.344e-05
207,7.911e-05,-2.344e-05
208,8.204e-05,-2.344e-05
209,7.911e-05,-2.344e-05
210,7.911e-05,-2.344e-05
211,7.911e-05,-2.344e-05
212,8.204e-05,-2.344e-05
213,0.00010841,-1.758e-05
214,0.00010841,-1.758e-05
215,0.00010841,-1.758e-05
216,0.00010841,-1.172e-05
217,0.00010841,-0
218,0.00010841,-0
219,0.00010841,-0
220,0.00010841,-0
221,0.00010841,-0
222,0.00010841,-0
223,0.00010841,-1.465e-05
224,0.00010841,-1.758e-05
225,0.00011134,-1.758e-05
226,0.00010841,-1.758e-05
227,8.204e-05,-2.344e-05
228,7.911e-05,-2.344e-05
229,7.911e-05,-2.344e-05
