frame_num,dispx,dispy
1,0,-0
2,0,-0
3,0,-0
4,0,-0
5,0,-0
6,0,-0
7,0,-0
8,0,-0
9,0,-0
10,0,-0
11,0,-0
12,0,-0
13,0,-0
14,0,-0
15,0,-0
16,0,-0
17,0,-0
18,4.102e-05,-0
19,4.102e-05,-0
20,4.102e-05,-0
21,0,-0
22,0,-0
23,0,-0
24,0,-0
25,0,-0
26,0,-0
27,0,-0
28,0,-0
29,0,-0
30,0,-0
31,0,-0
32,0,-0
33,0,-0
34,0,-0
35,0,-0
36,0,-0
37,0,-0
38,0,-0
39,0,-0
40,0,-0
41,0,-0
42,0,-0
43,0,-0
44,0,-0
45,0,-0
46,0,-0
47,0,-0
48,0,-0
49,0,-0
50,0,-0
51,0,-0
52,0,-0
53,0,-0
54,4.102e-05,-0
55,4.102e-05,-0
56,4.395e-05,-0
57,4.102e-05,-0
58,4.102e-05,-0
59,4.395e-05,-0
60,4.102e-05,-0
61,8.204e-05,-0
62,8.204e-05,-0
63,8.204e-05,-0
64,8.204e-05,-0
65,8.204e-05,-0
66,8.204e-05,-0
67,8.204e-05,-0
68,8.204e-05,-0
69,8.204e-05,-0
70,8.204e-05,-0
71,0.00010841,-0
72,0.00010841,-0
73,0.00010841,-0
74,0.00010841,-0
75,0.00010841,-0
76,0.00010841,-0
77,0.00010841,-0
78,0.00010841,-0
79,0.00010841,-0
80,0.00010841,-0
81,0.00010841,-1.758e-05
82,0.00010841,-1.758e-05
83,0.00010841,-1.758e-05
84,8.204e-05,-2.051e-05
85,7.911e-05,-2.344e-05
86,7.911e-05,-2.344e-05
87,7.911e-05,-2.344e-05
88,7.911e-05,-2.344e-05
89,7.911e-05,-2.344e-05
90,0.00011134,-1.758e-05
91,0.00010841,-1.758e-05
92,0.00010841,-1.758e-05
93,0.00010841,-1.758e-05
94,0.00010841,-0
95,0.00010841,-0
96,0.00010841,-0
97,0.00010841,-0
98,0.00010841,-0
99,0.00010841,-0
100,0.00010841,-2.93e-06
101,0.00010841,-1.758e-05
102,0.00010841,-1.758e-05
103,0.00010841,-1.758e-05
104,8.204e-05,-2.344e-05
105,7.911e-05,-2.344e-05
106,8.204e-05,-2.344e-05
107,8.204e-05,-2.344e-05
108,7.911e-05,-2.344e-05
109,8.204e-05,-2.344e-05
110,8.204e-05,-2.344e-05
111,0.00010841,-1.758e-05
112,0.00011134,-1.758e-05
113,0.00010841,-1.758e-05
114,0.00010841,-0
115,0.00010841,-0
116,0.00010841,-0
117,0.00010841,-0
118,0.00010841,-0
119,0.00010841,-0
120,0.00010841,-0
121,0.00010841,-1.758e-05
122,0.00010841,-1.758e-05
123,0.00010841,-1.758e-05
124,7.911e-05,-2.051e-05
125,8.204e-05,-2.344e-05
126,7.911e-05,-2.344e-05
127,7.911e-05,-2.344e-05
128,7.911e-05,-2.344e-05
129,7.911e-05,-2.344e-05
130,7.911e-05,-2.344e-05
131,0.00010841,-1.758e-05
